ID,ACTIVATED,IN_REPAIR_SYSTEM,STILL_ALIVE,Lifetime
336,6/26/2019,,TRUE,447
337,6/13/2019,,TRUE,460
338,3/25/2019,,TRUE,540
339,3/22/2019,,TRUE,543
340,8/2/2019,,TRUE,410
341,10/25/2018,,TRUE,691
342,11/7/2018,,TRUE,678
343,3/13/2019,,TRUE,552
344,7/9/2019,,TRUE,434
345,4/12/2019,,TRUE,522
346,6/12/2019,,TRUE,461
347,4/11/2019,,TRUE,523
348,3/12/2019,,TRUE,553
349,3/1/2019,,TRUE,564
350,3/13/2019,,TRUE,552
351,1/29/2019,,TRUE,595
352,3/14/2019,,TRUE,551
353,3/18/2019,,TRUE,547
354,7/17/2019,,TRUE,426
355,9/6/2018,,TRUE,740
356,3/26/2019,,TRUE,539
357,4/1/2019,,TRUE,533
358,5/13/2019,,TRUE,491
359,4/20/2019,,TRUE,514
360,8/9/2019,,TRUE,403
361,3/14/2019,,TRUE,551
362,6/28/2019,,TRUE,445
363,7/22/2019,,TRUE,421
364,9/20/2018,,TRUE,726
365,5/22/2019,,TRUE,482
366,7/20/2019,,TRUE,423
367,4/9/2019,,TRUE,525
368,12/12/2018,,TRUE,643
369,3/1/2019,,TRUE,564
370,3/13/2019,,TRUE,552
371,8/8/2019,,TRUE,404
372,5/22/2019,,TRUE,482
373,2/28/2019,,TRUE,565
374,10/5/2018,,TRUE,711
375,3/12/2019,,TRUE,553
376,7/12/2019,,TRUE,431
377,10/18/2018,,TRUE,698
378,3/12/2019,,TRUE,553
379,3/13/2019,,TRUE,552
380,4/9/2019,,TRUE,525
381,3/28/2019,,TRUE,537
382,5/24/2019,,TRUE,480
383,6/25/2019,,TRUE,448
384,3/28/2019,,TRUE,537
385,1/2/2019,,TRUE,622
386,7/15/2019,,TRUE,428
387,4/23/2019,,TRUE,511
388,5/20/2019,,TRUE,484
389,3/5/2019,,TRUE,560
390,12/10/2018,,TRUE,645
391,10/19/2018,,TRUE,697
392,9/5/2018,,TRUE,741
393,3/6/2019,,TRUE,559
394,7/2/2019,,TRUE,441
395,7/17/2019,,TRUE,426
396,5/17/2019,,TRUE,487
397,6/12/2019,,TRUE,461
398,3/8/2019,,TRUE,557
399,6/12/2019,,TRUE,461
400,6/11/2019,,TRUE,462
401,3/12/2019,,TRUE,553
402,11/26/2018,,TRUE,659
403,4/29/2019,,TRUE,505
404,7/26/2019,,TRUE,417
405,1/25/2019,,TRUE,599
406,11/16/2018,,TRUE,669
407,11/9/2018,,TRUE,676
408,6/11/2019,,TRUE,462
409,4/10/2019,,TRUE,524
410,4/17/2019,,TRUE,517
411,5/6/2019,,TRUE,498
412,4/18/2019,,TRUE,516
413,8/6/2019,,TRUE,406
414,12/31/2018,,TRUE,624
415,11/20/2018,,TRUE,665
416,7/11/2019,,TRUE,432
417,12/28/2018,,TRUE,627
418,11/3/2018,,TRUE,682
419,4/7/2019,,TRUE,527
420,7/17/2019,,TRUE,426
421,7/31/2019,,TRUE,412
422,8/7/2019,,TRUE,405
423,5/30/2019,,TRUE,474
424,7/16/2019,,TRUE,427
425,12/6/2018,,TRUE,649
426,7/3/2019,,TRUE,440
427,3/14/2019,,TRUE,551
428,4/26/2019,,TRUE,508
